Title,Year,Rating,Genre,Director(s),Box Office Revenue,Lead Actors
1. The Shawshank Redemption,1994,9.3 (3M),"Epic, Period Drama, Prison Drama, Drama","Frank Darabont, Stephen King, Morgan Freeman, Andy Dufresne, Bob Gunton, Jack Lawrence, The Ink Spots, Hank Williams, Tim Robbins","Gross worldwide$29,332,133",Unknown
2. The Godfather,1972,9.2 (2.1M),"Epic, Gangster, Tragedy, Crime, Drama","Marlon Brando, James Caan, Carmine Coppola, Michael, Mario Puzo, Al Pacino, Francis Ford Coppola, Kay Adams","Gross worldwide$250,342,198",Unknown
3. The Dark Knight,2008,9.0 (3M),"Action Epic, Epic, Superhero, Tragedy, Action, Crime, Drama, Thriller","Jack Nicholson, Michael Caine, Christopher Nolan, David S. Goyer, Aaron Eckhart, The Chechen, The Joker, The Pipes and Drums of the Chicago Police Department, Christian Bale, Salvatore Maroni, Jonathan Nolan, Heath Ledger","Gross worldwide$1,009,057,329",Unknown
4. The Godfather Part II,1974,9.0 (1.4M),"Epic, Gangster, Tragedy, Crime, Drama","Francis Ford Coppola, Michael Corleone, Livio Giorgi, Francesco Pennino, Mario Puzo, Al Pacino, Robert De Niro, Robert Duvall","Gross worldwide$47,964,222",Unknown
5. 12 Angry Men,1957,9.0 (917K),"Legal Drama, Psychological Drama, Crime, Drama","Jack Warden, Marvin Hatley, Juror #11, Juror #8, Juror #10, Martin Balsam, Reginald Rose, Henry Fonda, Sidney Lumet, Lee J. Cobb, E.G. Marshall","Gross worldwide$2,945",Unknown
6. The Lord of the Rings: The Return of the King,2003,9.0 (2.1M),"Action Epic, Adventure Epic, Epic, Fantasy Epic, Mountain Adventure, Quest, Sword & Sorcery, Tragedy, Adventure, Drama","Howard Shore, Annie Lennox, John Rhys-Davies, Viggo Mortensen, Peter Jackson, Fran Walsh, Aragorn, Elijah Wood, J.R.R. Tolkien, Ian McKellen, Philippa Boyens","Gross worldwide$1,138,267,561",Unknown
7. Schindler's List,1993,9.0 (1.5M),"Docudrama, Epic, Historical Epic, Period Drama, Prison Drama, Tragedy, Biography, Drama, History","Thomas Keneally, Ralph Fiennes, Oskar Schindler, Ben Kingsley, Liam Neeson, Oskar Schima, Franz Xaver Kappus, Mimi Thoma, Steven Spielberg, Steven Zaillian, Amon Göth, Amon Goeth, Mila Pfefferberg","Gross worldwide$322,161,245",Unknown
8. Pulp Fiction,1994,8.9 (2.3M),"Dark Comedy, Drug Crime, Gangster, Crime, Drama","Roger Avary, Dick Dale & His Del-Tones, Bruce Willis, Quentin Tarantino, Uma Thurman, Mia, Vincent, Fred Wise, John Travolta, Milton Leeds, Bob Russell, Samuel L. Jackson, Nicholas Roubanis","Gross worldwide$213,928,762",Unknown
9. The Lord of the Rings: The Fellowship of the Ring,2001,8.9 (2.1M),"Action Epic, Adventure Epic, Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Drama, Fantasy","David Donaldson, David Long, Orlando Bloom, Gandalf, Janet Roddick, Peter Jackson, Fran Walsh, Elijah Wood, Chris O'Connor, J.R.R. Tolkien, Christopher Lee, Steve Roche, Ian McKellen, Frodo, Philippa Boyens","Gross worldwide$888,171,906",Unknown
"10. Il buono, il brutto, il cattivo",1966,8.8 (847K),"Adventure Epic, Dark Comedy, Desert Adventure, Epic, Period Drama, Quest, Spaghetti Western, Western Epic, Adventure, Western","Agenore Incrocci, Lee Van Cleef, Luciano Vincenzoni, Sergio Leone, Eli Wallach, Tommie Connor, Blondie, Clint Eastwood","Gross worldwide$25,264,999",Unknown
11. Forrest Gump,1994,8.8 (2.4M),"Epic, Drama, Romance","Eric Roth, Robin Wright, Cliff Friend, Robert Zemeckis, Tom Hanks, Gary Sinise, Winston Groom, Forrest Gump, Young Man Running, Hank Williams, Irving Mills","Gross worldwide$678,226,465",Unknown
12. The Lord of the Rings: The Two Towers,2002,8.8 (1.9M),"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Drama, Fantasy","Emiliana Torrini, Sam, Howard Shore, Viggo Mortensen, Peter Jackson, Fran Walsh, Elijah Wood, J.R.R. Tolkien, Ian McKellen, Frodo, Philippa Boyens","Gross worldwide$938,242,927",Unknown
13. Fight Club,1999,8.8 (2.4M),"Psychological Drama, Workplace Drama, Drama","Jim Uhls, Brad Pitt, Edward Norton, David Fincher, Tyler Durden, Matt Winston, Holt McCallany, Meat Loaf, Rolfe Kent, Chuck Palahniuk","Gross worldwide$101,321,009",Unknown
14. Inception,2010,8.8 (2.7M),"Action Epic, Adventure Epic, Epic, Psychological Thriller, Sci-Fi Epic, Action, Adventure, Sci-Fi, Thriller","Joseph Gordon-Levitt, Hans Zimmer, Christopher Nolan, Cobb, Édith Piaf, Michel Vaucaire, Elliot Page, Charles Dumont, Leonardo DiCaprio","Gross worldwide$839,030,630",Unknown
15. Star Wars: Episode V - The Empire Strikes Back,1980,8.7 (1.4M),"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Globetrotting Adventure, Quest, Sci-Fi Epic, Space Sci-Fi, Sword & Sorcery","Irvin Kershner, Leigh Brackett, Lawrence Kasdan, Luke, George Lucas, Harrison Ford, Carrie Fisher, Yoda, Mark Hamill","Gross worldwide$550,016,086",Unknown
16. The Matrix,1999,8.7 (2.1M),"Action Epic, Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Gun Fu, Martial Arts, Sci-Fi Epic, Action, Sci-Fi","Laurence Fishburne, Lana Wachowski, Carrie-Anne Moss, Lilly Wachowski, Morpheus, Keanu Reeves, Massive Attack, Robert Del Naja, Andrew Vowles, Grant Marshall","Gross worldwide$467,841,735",Unknown
17. GoodFellas,1990,8.7 (1.3M),"Docudrama, Gangster, True Crime, Biography, Crime, Drama","Richard Adler, Joe Pesci, Nicholas Pileggi, Jerry Ross, Ray Liotta, Henry Hill, Martin Scorsese, Robert De Niro, Tony Bennett","Gross worldwide$47,058,317",Unknown
18. One Flew Over the Cuckoo's Nest,1975,8.7 (1.1M),"Medical Drama, Psychological Drama, Drama","Brad Dourif, Ken Kesey, Jack Nicholson, McMurphy, Erno Rapee, Bo Goldman, Lawrence Hauben, Louise Fletcher, Lew Pollack, Michael Berryman, Milos Forman","Gross worldwide$109,115,366",Unknown
19. Interstellar,2014,8.7 (2.3M),"Adventure Epic, Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Time Travel, Adventure, Drama, Sci-Fi","Jessica Chastain, Christopher Nolan, Kip Thorne, Matthew McConaughey, Cooper, Dylan Thomas, Anne Hathaway, Jonathan Nolan","Gross worldwide$758,464,713",Unknown
20. Se7en,1995,8.6 (1.9M),"Cop Drama, Hard-boiled Detective, Legal Drama, Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Crime, Drama, Mystery","Kevin Spacey, Andrew Kevin Walker, John Doe, Trent Reznor, Morgan Freeman, Brad Pitt, David Mills, Leland Orser, Nine Inch Nails, David Fincher","Gross worldwide$328,971,354",Unknown
21. It's a Wonderful Life,1946,8.6 (525K),"Feel-Good Romance, Holiday Family, Holiday Romance, Psychological Drama, Supernatural Fantasy, Drama, Family, Fantasy, Holiday, Romance","James Stewart, William Cool White, Albert Hackett, Lionel Barrymore, Gloria Grahame, Donna Reed, Clarence, Frank Capra, Frances Goodrich","Gross worldwide$10,635,461",Unknown
22. Shichinin no samurai,1954,8.6 (381K),"Action Epic, Epic, Period Drama, Samurai, Action, Drama","Toshirô Mifune, Akira Kurosawa, Shinobu Hashimoto, Keiko Tsushima, Kambei Shimada, Sôjirô Motoki, Takashi Shimura, Hideo Oguni","Gross worldwide$1,082,130",Unknown
23. The Silence of the Lambs,1991,8.6 (1.6M),"Police Procedural, Psychological Drama, Psychological Horror, Psychological Thriller, Serial Killer, Slasher Horror, Crime, Drama, Horror, Thriller","Tom Petty & The Heartbreakers, Jonathan Demme, Thomas Harris, Jodie Foster, Scott Glenn, Anthony Hopkins, Hannibal Lecter, Ted Tally, Tom Petty","Gross worldwide$272,742,922",Unknown
